CLIENTE,MRR_12M,CD_CLIENTE,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M
T46046,541.447008,T46046,,
T50754,749.508681,T50754,3.0,75613.7315124307
T50749,455.262735,T50749,2.0,22895.4389558998
T51425,336.400967,T51425,,
T41056,246.644385,T41056,1.0,587.993530050937
T41149,486.951231,T41149,,
T74551,900.847406,T74551,2.0,47853.3491905042
T60617,4257.269886,T60617,7.0,184529.601341335
T23438,1335.935397,T23438,,
T43237,340.323298,T43237,,
T48689,234.280871,T48689,1.0,204.021605779882
T57936,900.694139,T57936,3.0,66331.3958434808
T60161,426.693434,T60161,2.0,41818.3083685481
T28442,802.693247,T28442,1.0,4138.16789268865
TA6191,63.083924,TA6191,,
T47145,643.271101,T47145,,
T55622,2037.776781,T55622,7.0,157636.037593244
T51535,231.183288,T51535,1.0,1550.72310973561
T78458,3545.21381,T78458,1.0,22175.385450493
T33882,667.458783,T33882,,
T46332,943.765078,T46332,,
T76663,466.916143,T76663,2.0,8220.84066426338
T53563,1534.460648,T53563,,
T54252,161.371149,T54252,1.0,393.367545488356
T60951,69.225701,T60951,,
T57248,336.630157,T57248,,
T57551,305.074054,T57551,,
T51682,269.931561,T51682,,
T57320,606.66356,T57320,3.0,479.344836377051
T98613,57.256817,T98613,,
T36201,160.787334,T36201,,
T46479,100.353235,T46479,,
T43110,2485.633347,T43110,1.0,4171.79454777464
T82336,1253.303757,T82336,2.0,0.0084077147358395
T55238,1584.743658,T55238,,
T61950,1164.874785,T61950,2.0,4379.7887987672
T75868,900.57113,T75868,5.0,27242.6772870672
T50232,212.33884,T50232,,
T52576,978.425087,T52576,2.0,33467.4844344686
T57766,179.755671,T57766,,
T53779,241.067791,T53779,,
T26177,80.689751,T26177,,
T46391,562.517065,T46391,,
T46585,1327.099936,T46585,2.0,2762.63213104636
T57767,839.643578,T57767,1.0,0.0042038573679197
T43025,1605.762412,T43025,1.0,373.996170736981
T60204,217.506144,T60204,1.0,0.0042038573679197
T53335,1501.562483,T53335,1.0,0.0084077147358395
T42463,1497.819413,T42463,2.0,5079.89079710582
T59162,376.983992,T59162,3.0,0.0126115721037593
T58232,312.745554,T58232,2.0,0.0084077147358395
T76289,323.52479,T76289,1.0,3363.08589433581
T76859,236.094472,T76859,2.0,0.0252231442075186
T30414,316.755998,T30414,,
T53401,1958.032555,T53401,1.0,0.0462424310471174
T54282,1206.641868,T54282,2.0,0.0084077147358395
T49917,578.851641,T49917,,
T79368,186.832006,T79368,1.0,95.9698598522402
T61371,1468.527888,T61371,3.0,1870.61984000483
T76120,794.42369,T76120,1.0,2217.48431528926
T46452,98.829761,T46452,,
T52097,340.293371,T52097,,
T55053,455.071163,T55053,,
T54729,76.349648,T54729,,
T47844,148.415356,T47844,,
T42506,492.766826,T42506,,
T79237,1308.552046,T79237,2.0,3794.04853626547
T60750,222.575535,T60750,,
T25606,900.985132,T25606,2.0,13384.0687298308
T44141,200.566964,T44141,,
T51729,1028.374213,T51729,1.0,15218.2495341705
T59700,144.333945,T59700,,
T62508,263.081887,T62508,2.0,3385.05525294056
T31812,1096.74615,T31812,,
TAAI07,29.646571,TAAI07,,
T51994,700.240124,T51994,,
T58490,333.352816,T58490,1.0,51.2071865986306
T59746,337.461813,T59746,1.0,2459.290191092
TA2514,123.718987,TA2514,1.0,32.2814207282558
T45427,127.865895,T45427,,
T50813,46.899525,T50813,,
T79557,668.723718,T79557,1.0,2654.95452842446
T53698,145.419808,T53698,1.0,3755.07877846485
T54797,1349.078837,T54797,,
T61431,578.306045,T61431,1.0,1667.56512141957
T59826,271.396243,T59826,,
T75123,273.429159,T75123,,
T54131,1098.60548,T54131,2.0,200.149853144028
T57558,982.83828,T57558,,
TA2555,69.049357,TA2555,,
T43841,551.102256,T43841,1.0,282.684184848396
T47344,561.548404,T47344,2.0,3302.07951621256
T43460,1070.066728,T43460,2.0,0.0084077147358395
TA0689,1207.966581,TA0689,2.0,0.0084077147358395
T56194,80.001345,T56194,,
T80605,109.181649,T80605,,
T76001,1499.362678,T76001,4.0,37774.126115034
T51026,1171.15522,T51026,2.0,33646.169391892
T55244,180.3665,T55244,,
T74369,1849.19457,T74369,1.0,8529.42481435553
T57156,236.978472,T57156,,
T35033,2414.958325,T35033,,
T46472,728.293217,T46472,3.0,156679.210229304
T49304,1510.396799,T49304,,
T58470,966.588004,T58470,2.0,20782.988016948
T44188,29.096698,T44188,,
T60400,1212.300239,T60400,,
T54284,704.608178,T54284,2.0,0.0126115721037593
T53550,846.139098,T53550,,
T59260,269.012183,T59260,,
T58381,157.161936,T58381,2.0,248.84733689401
TA0719,1131.641086,TA0719,9.0,12409.3875836492
T77293,405.172404,T77293,1.0,1450.372830506
T30443,566.661316,T30443,1.0,342.589152341253
T53570,3840.844571,T53570,1.0,6087.22750732149
T57693,1122.123335,T57693,,
T50869,1292.929227,T50869,4.0,17751.8807389568
T79572,918.234316,T79572,3.0,14454.9257248758
T74473,589.637746,T74473,2.0,14371.9710074346
T76267,683.309886,T76267,,
T49440,2200.229874,T49440,,
T52694,549.175111,T52694,1.0,0.0042038573679197
T55539,928.823965,T55539,1.0,29537.4369084936
T57886,1089.886481,T57886,4.0,53492.6262682723
T49920,714.029586,T49920,1.0,4235.7352183407
T46200,2175.517051,T46200,,
T84428,146.427858,T84428,1.0,9523.50255843278
T62641,184.666853,T62641,,
T27008,789.368066,T27008,1.0,1568.50963025928
T45356,741.676618,T45356,,
T53590,1283.25042,T53590,,
T60480,2037.904286,T60480,1.0,19227.5734023898
T75488,1014.349491,T75488,2.0,20435.6232826368
T36158,1052.459413,T36158,,
TB1634,364.931588,TB1634,,
T54151,176.439453,T54151,1.0,4720.20455684924
T60327,6713.884355,T60327,3.0,14106.5646763684
T60458,3359.462305,T60458,1.0,2061.31521792841
TA3095,303.864653,TA3095,,
T47490,85.876074,T47490,,
T54551,236.121134,T54551,,
T84843,51.420982,T84843,,
T56419,1346.279436,T56419,,
T61412,826.18413,T61412,4.0,29092.1895592277
T73768,1211.201647,T73768,1.0,2581.52154792164
T61988,508.259418,T61988,,
T78391,995.288044,T78391,2.0,68145.7932950471
T56396,417.130462,T56396,3.0,33671.4850209617
T60449,4803.090064,T60449,5.0,10059.1370449663
TA2584,71.190869,TA2584,,
T46341,1477.154404,T46341,,
T48386,341.337726,T48386,,
T48345,114.869351,T48345,,
TA2580,38.754228,TA2580,,
T58706,809.56755,T58706,3.0,2924.04764240237
T84495,285.516961,T84495,,
T76341,312.330001,T76341,,
T57154,865.348421,T57154,2.0,27665.6820269994
T55295,545.042719,T55295,,
T76838,1375.521209,T76838,,
T59649,169.125735,T59649,1.0,698.99217999349
T36316,219.693663,T36316,,
T47243,4290.648913,T47243,1.0,0.0042038573679197
T49424,277.293087,T49424,,
T76419,366.41073,T76419,,
T47910,587.229028,T47910,,
T60720,227.620184,T60720,,
T57392,937.708609,T57392,3.0,4164.58072853129
T56348,1226.897799,T56348,5.0,8088.61253461283
T60392,1834.595743,T60392,3.0,9960.65327840802
T60994,3013.734998,T60994,4.0,63948.5065561934
TA2837,41.381478,TA2837,,
T94503,222.870392,T94503,1.0,3137.90207056582
T41835,649.021152,T41835,,
T53733,533.572314,T53733,5.0,16573.0224442727
T58044,1952.443942,T58044,4.0,62048.4344914689
T57575,847.219777,T57575,,
T84754,231.416392,T84754,,
T84923,641.38753,T84923,,
TA0900,107.981947,TA0900,,
T49696,633.263779,T49696,,
T53295,3283.171616,T53295,1.0,9260.57229935624
T56241,482.361893,T56241,1.0,464.252988426219
T60309,761.33525,T60309,3.0,2162.86780036525
T50368,191.493204,T50368,,
T50331,979.979761,T50331,1.0,35693.6959576537
TA2843,111.828311,TA2843,2.0,661.119628965901
T73839,2270.776656,T73839,3.0,16358.4365449272
T29465,1155.393518,T29465,2.0,3213.83214234518
T47828,511.117913,T47828,,
T55216,3502.62263,T55216,2.0,49749.6251720255
T60481,572.08942,T60481,1.0,3066.25993330173
T76763,118.717087,T76763,,
T39621,242.756473,T39621,,
TB2401,964.365773,TB2401,4.0,34042.4081719627
T54306,327.854113,T54306,3.0,42775.2492366371
T60580,115.952745,T60580,,
T60589,278.073202,T60589,,
TA3368,105.478352,TA3368,,
T49575,46.598077,T49575,,
T56562,532.499459,T56562,,
T98826,501.439881,T98826,5.0,30096.116941118
T57410,165.313223,T57410,1.0,15159.3871233049
T75322,412.841395,T75322,1.0,7092.71452029527
T76679,699.858265,T76679,4.0,7957.88097818527
T62588,67.478666,T62588,,
T78775,2246.468666,T78775,1.0,0.0042038573679197
T57445,288.875625,T57445,,
T61653,1224.312867,T61653,3.0,219.239569451751
TA3867,81.814936,TA3867,,
T50762,543.402914,T50762,,
T53560,2694.422323,T53560,2.0,0.0084077147358395
T48395,202.519427,T48395,,
TA4295,322.743349,TA4295,1.0,399.875116693895
T75007,1645.837701,T75007,1.0,44.6155382457324
T92201,203.232096,T92201,2.0,922.263248661077
T84205,106.844096,T84205,,
T57177,288.364152,T57177,4.0,45204.9400680016
T55737,1085.907842,T55737,1.0,56109.7586919576
TA2888,250.031493,TA2888,,
T61949,664.351419,T61949,,
T37265,582.302107,T37265,,
T49150,67.804079,T49150,,
T53751,909.69906,T53751,2.0,0.0084077147358395
T84888,211.78519,T84888,,
T47965,844.018513,T47965,1.0,12099.7608769298
T61788,497.141074,T61788,1.0,32663.3411701313
T61585,380.421974,T61585,3.0,7079.45975801422
T57095,228.770414,T57095,2.0,2263.54177661219
T76762,533.038907,T76762,2.0,5172.91795680052
T61925,1353.173846,T61925,5.0,111496.310985482
TA2866,296.621049,TA2866,,
T98614,135.55338,T98614,,
T45304,1456.042632,T45304,,
T54838,300.145688,T54838,,
T58233,737.705172,T58233,1.0,34.3034761222252
T58719,316.740652,T58719,,
T89937,347.928624,T89937,2.0,0.0084077147358395
T84955,283.272724,T84955,,
TA2570,25.487555,TA2570,2.0,89.5505696514267
T51925,122.036872,T51925,1.0,342.547113767574
T62368,5178.381769,T62368,2.0,0.0084077147358395
T60571,601.747454,T60571,1.0,4487.85736012432
T73774,375.876847,T73774,2.0,2527.02694486129
T51800,98.261255,T51800,,
T53357,5319.758694,T53357,,
TA3318,484.388007,TA3318,2.0,2356.03504642116
T75558,621.217894,T75558,4.0,36357.7624906345
T39838,123.3146,T39838,,
T48228,1518.126173,T48228,,
T56033,6326.53683,T56033,2.0,26408.2452303941
T60726,1091.178161,T60726,2.0,0.0084077147358395
T77947,429.487675,T77947,2.0,51292.4954761978
T45321,1765.207181,T45321,1.0,0.0042038573679197
TB3043,370.417178,TB3043,,
T60147,503.913202,T60147,,
T62498,336.685321,T62498,,
T61456,315.65756,T61456,,
TA3626,64.159619,TA3626,1.0,79.0535378037311
T52685,1213.104695,T52685,1.0,0.0042038573679197
T59191,236.776485,T59191,,
T98877,106.381693,T98877,,
T59297,598.990147,T59297,15.0,17472.7404058696
T84505,125.166942,T84505,,
TA2853,15.591056,TA2853,,
T73807,1415.145906,T73807,,
T80566,819.626505,T80566,4.0,14633.4383241471
T60447,1385.36826,T60447,,
T74125,32.597644,T74125,1.0,59.2827966024044
TAAONL,279.14438,TAAONL,1.0,0.0042038573679197
T54102,421.810556,T54102,3.0,22213.6069216822
T56307,1621.518253,T56307,1.0,415.79092068884
T51646,766.214506,T51646,,
TA6091,328.221119,TA6091,,
T98750,726.373355,T98750,,
TA2872,89.229157,TA2872,,
T84563,357.842646,T84563,1.0,1310.82998903527
T59082,1601.982215,T59082,6.0,18665.3663334337
T56440,812.111837,T56440,,
TB0930,596.986782,TB0930,,
T62600,84.396793,T62600,,
T38653,130.911582,T38653,,
T49432,656.591207,T49432,4.0,7148.02887554236
T55031,526.135493,T55031,1.0,2258.63167120646
T92086,963.950222,T92086,,
T48548,1357.913949,T48548,,
T76352,666.385981,T76352,4.0,23173.4148204961
T77335,776.871288,T77335,3.0,9960.32537753333
T57253,638.834131,T57253,,
T76806,3157.438939,T76806,10.0,177754.072063307
T75573,1792.89337,T75573,3.0,25442.3837769703
TA8467,1399.251548,TA8467,2.0,7505.64261411656
TA2821,204.658973,TA2821,,
T47747,172.425926,T47747,,
T55024,894.833485,T55024,3.0,0.0126115721037593
T58684,94.720451,T58684,,
T59920,611.768606,T59920,1.0,0.0042038573679197
TAA655,158.048391,TAA655,,
T98879,4422.943216,T98879,5.0,37996.7245665227
TA3750,142.684111,TA3750,,
T53460,120.60791,T53460,,
T73747,14849.775091,T73747,3.0,85323.4103021166
T61086,423.508887,T61086,,
T76590,2046.781518,T76590,6.0,107792.489839905
T53023,1231.605961,T53023,1.0,4493.67970257888
T53440,1285.16843,T53440,,
TA3425,150.038394,TA3425,1.0,44.3422875168176
T76402,102.784312,T76402,2.0,6322.32402676504
T47759,680.282463,T47759,2.0,1989.75715781168
T49923,485.533553,T49923,,
T58234,575.833892,T58234,2.0,6081.56070758954
T75857,788.502923,T75857,1.0,832.279681700754
T92141,214.948038,T92141,,
T45940,184.393795,T45940,1.0,180.454781375324
TB3347,194.962967,TB3347,,
T61985,493.152337,T61985,,
T74871,4616.548357,T74871,4.0,37327.7353165641
T73876,1268.31856,T73876,3.0,1692.92699292023
TB3946,118.524181,TB3946,,
T53093,90.90105,T53093,,
T61862,959.142638,T61862,1.0,5113.50904447708
T98884,422.445903,T98884,1.0,612.25819477857
T73765,981.568675,T73765,2.0,14027.2547032652
T84693,1002.73875,T84693,3.0,61943.317037984
TA3952,18.345471,TA3952,,
T74600,609.262892,T74600,3.0,9919.05190589509
T84547,476.675422,T84547,1.0,76648.5236151163
T61211,704.200447,T61211,2.0,0.0084077147358395
T78381,564.314458,T78381,3.0,10374.2497855508
TB0701,308.905376,TB0701,,
T54623,1295.429257,T54623,1.0,3017.85251571013
T57157,582.140875,T57157,3.0,210.327391831761
T52004,18.008273,T52004,1.0,530.783235130917
TAAMBE,511.158474,TAAMBE,2.0,2670.66013955101
TA2668,135.435672,TA2668,,
TA3130,311.268032,TA3130,,
T89811,345.32088,T89811,3.0,11403.2195457818
T60275,166.915454,T60275,,
T60892,515.403811,T60892,,
TB1247,219.325748,TB1247,,
T75437,1286.264047,T75437,1.0,2556.30260757149
T42496,1148.483401,T42496,,
T49747,1108.004136,T49747,,
T56361,699.510406,T56361,2.0,0.0126115721037593
TA2900,955.444177,TA2900,1.0,28.712345822892
T53290,770.536968,T53290,,
T82275,1755.675912,T82275,1.0,27185.9588434592
T77617,903.012359,T77617,1.0,48.3779905900206
T58219,2131.026124,T58219,,
T78516,530.065983,T78516,,
T84228,298.418866,T84228,,
TAA619,2735.668788,TAA619,1.0,374.651972486377
TA2901,70.857618,TA2901,,
T50564,130.042334,T50564,,
T55665,176.198142,T55665,,
T60409,280.101161,T60409,1.0,1609.69061703542
T62248,195.923213,T62248,,
TAAOI5,119.158915,TAAOI5,,
TA2656,77.868847,TA2656,1.0,323.285039307765
TAABOV,482.306855,TAABOV,2.0,19318.0866553785
T55103,1604.8048,T55103,1.0,1161.47534446781
T79220,1487.761298,T79220,2.0,51253.1894098077
T61500,929.437643,T61500,4.0,62507.4032311836
TA2588,68.440899,TA2588,,
T53407,1103.704567,T53407,2.0,12950.407211471
T53664,156.911678,T53664,,
TAAHTY,191.072292,TAAHTY,3.0,9929.19581372388
T79935,403.253587,T79935,4.0,19324.674099874
T49737,474.386224,T49737,,
T50010,122.205082,T50010,2.0,185.112655338979
T60224,349.481225,T60224,,
T77573,809.203144,T77573,1.0,1258.08839449735
T92194,99.762828,T92194,,
T47723,1877.537587,T47723,1.0,0.0042038573679197
TB3354,146.561181,TB3354,,
T76189,184.10412,T76189,1.0,21800.5611198546
T76472,498.95447,T76472,,
T74810,856.632878,T74810,2.0,7288.60166206823
TB4565,381.451279,TB4565,,
T54430,291.146837,T54430,,
T62512,1325.110977,T62512,,
TA2551,21.070935,TA2551,2.0,245.295077418118
T73851,2853.373461,T73851,7.0,51910.6979252946
TA2869,14.31672,TA2869,,
TAAG64,477.703415,TAAG64,1.0,23670.6891085474
T76764,999.808004,T76764,,
T84929,212.162375,T84929,,
T61906,364.10126,T61906,,
TA3030,91.598257,TA3030,1.0,87.8353958453155
TB2788,424.638504,TB2788,,
T55699,842.58804,T55699,2.0,0.0084077147358395
T58681,117.331599,T58681,,
T52372,1409.11257,T52372,,
TB1665,336.522656,TB1665,3.0,9346.96577212436
TA2928,73.170892,TA2928,,
TA3155,134.33948,TA3155,1.0,692.896586810007
TA4428,465.909631,TA4428,,
T74511,1222.579768,T74511,5.0,51658.1890286331
T62472,910.023455,T62472,4.0,165317.851258078
TB1406,269.94682,TB1406,,
T84225,769.657728,T84225,,
T44505,342.912525,T44505,,
T50743,963.338273,T50743,5.0,147222.628876311
T61052,494.136661,T61052,1.0,1476.70999691601
TA2904,93.189008,TA2904,1.0,98.1180309672472
T53366,2397.937088,T53366,2.0,210.911728005902
T92154,734.356877,T92154,1.0,0.0042038573679197
T96535,243.527156,T96535,,
T81709,187.589552,T81709,2.0,29887.0128717803
T84560,2897.631653,T84560,2.0,23529.8809060089
T84493,797.156299,T84493,,
TAAHZ2,25.567559,TAAHZ2,,
TA8241,793.320656,TA8241,,
T52473,1470.813686,T52473,2.0,0.0084077147358395
T56018,617.191544,T56018,1.0,2447.75480647443
T60625,1082.013708,T60625,3.0,3543.82653801215
T75344,546.894809,T75344,2.0,24241.8125589808
TB0789,630.006233,TB0789,,
TA3606,63.951988,TA3606,,
TAAHZQ,956.76293,TAAHZQ,2.0,0.0126115721037593
T57105,57.610782,T57105,,
T84546,302.417137,T84546,1.0,0.0420385736791976
T61939,3272.509875,T61939,5.0,38950.9707620389
TA2722,509.625521,TA2722,1.0,5049.35818104262
T60085,2182.936605,T60085,2.0,0.0252231442075186
T54337,1040.008277,T54337,,
TB1040,308.199339,TB1040,3.0,16360.9504516332
T92121,3933.994123,T92121,1.0,9028.97759310017
T50725,1249.698658,T50725,,
T50843,296.681963,T50843,,
T61024,1703.992635,T61024,9.0,3611.57169949618
T79264,354.110881,T79264,1.0,6956.29514484891
TA2501,30.242167,TA2501,,
T50734,1175.35264,T50734,2.0,460.255120069327
TB3668,150.384082,TB3668,1.0,1472.21607338971
T76286,1417.650415,T76286,1.0,2183.16402373756
T76474,261.166876,T76474,1.0,254.08113931707
T77520,2465.365228,T77520,2.0,4134.47690591961
TB6687,219.532985,TB6687,,
T55328,2402.854927,T55328,6.0,99843.3949236183
T75004,1907.786528,T75004,12.0,1024174.5378394
TA3491,109.278521,TA3491,,
T74657,390.329667,T74657,1.0,10258.8286776572
TA3579,274.839149,TA3579,2.0,633.979525798611
TAAMHM,1092.858044,TAAMHM,,
T78253,486.417962,T78253,5.0,29045.6108195912
TA2617,214.637396,TA2617,,
T76842,1036.787436,T76842,1.0,51.9428616380166
TA3598,147.70976,TA3598,,
TB3493,417.525922,TB3493,4.0,12533.5737341549
T57215,370.629158,T57215,,
T60435,31.20187,T60435,,
T53365,1192.454799,T53365,,
TB2395,849.003076,TB2395,,
TA3094,249.238318,TA3094,,
TA3873,48.335952,TA3873,,
TA8583,3395.761719,TA8583,,
T78102,635.37983,T78102,,
TA2604,41.931418,TA2604,,
TB1914,249.582353,TB1914,1.0,2969.65108712957
T92270,1721.367542,T92270,,
T55970,1535.451493,T55970,4.0,22654.4864631428
T52184,3440.552175,T52184,1.0,606.591395046614
T61210,985.969434,T61210,1.0,2956.00116225593
TA3743,108.04088,TA3743,,
T53716,848.957224,T53716,,
T98600,714.566967,T98600,3.0,40757.7382124824
TA3755,213.864928,TA3755,,
T84300,1620.484174,T84300,,
T84703,3764.929322,T84703,3.0,184455.193065923
TAAKAL,257.411989,TAAKAL,,
TAAJU5,256.976427,TAAJU5,,
TB0151,522.959467,TB0151,,
T54271,1347.224099,T54271,2.0,6510.11453924738
T56137,853.542026,T56137,2.0,2579.34815366242
T62310,410.377532,T62310,1.0,172.35815208471
T78573,919.517729,T78573,1.0,14558.5802359966
TB1005,428.356991,TB1005,,
TA3701,91.538783,TA3701,1.0,62.1540311846936
TAAI74,137.336857,TAAI74,,
T58138,168.794545,T58138,,
T84622,1146.378434,T84622,9.0,61476.049883825
T75306,2140.850197,T75306,1.0,62858.6313104159
TA2875,88.171553,TA2875,,
T76342,1107.541181,T76342,,
T54374,108.366792,T54374,,
TB1652,442.558281,TB1652,,
TA3129,180.119963,TA3129,,
T51839,3369.859231,T51839,2.0,58871.4954013846
T52361,214.579668,T52361,1.0,5589.86914212291
T61539,2030.644981,T61539,,
T98720,340.962404,T98720,,
TA2868,161.257843,TA2868,,
T53615,4411.478159,T53615,4.0,36101.3103757619
TB4748,168.381527,TB4748,1.0,215.073546800143
T79638,6697.034993,T79638,1.0,2717.49951834437
T78209,4707.070746,T78209,1.0,5916.98389549285
T79168,208.470859,T79168,,
TCAGBS,796.732213,TCAGBS,7.0,799.99405711513
T58124,614.034546,T58124,,
T75337,771.991274,T75337,,
TB0987,389.91895,TB0987,,
T75282,800.297895,T75282,2.0,22703.2343931812
TA6050,3109.212145,TA6050,1.0,70323.5091196358
TB1029,588.271735,TB1029,,
T80020,553.239311,T80020,1.0,3489.73130140176
TA3513,131.647792,TA3513,3.0,196.685874672862
T77135,760.887149,T77135,4.0,34537.9378592062
TA8589,3234.638933,TA8589,,
TB3641,249.844025,TB3641,1.0,892.436880635686
T75385,670.570334,T75385,6.0,31672.1598837806
T60633,547.840821,T60633,1.0,0.100892576830074
T55754,354.313861,T55754,,
TB5781,2271.412367,TB5781,,
TA3424,548.547895,TA3424,2.0,102.246218902544
TAAGAG,229.823513,TAAGAG,,
TB2715,259.980144,TB2715,,
T80295,917.695994,T80295,8.0,30466.1993206455
TA3887,150.727904,TA3887,,
TB2448,395.565488,TB2448,2.0,8878.49211090075
T98821,1537.819884,T98821,3.0,144.259569437534
T61094,226.475008,T61094,,
T55956,238.194022,T55956,,
T77543,826.637786,T77543,,
TA4208,478.114507,TA4208,1.0,1429.07188522275
T53741,1741.353065,T53741,,
TA2879,105.066952,TA2879,,
TB0548,304.328452,TB0548,,
T98737,8115.057632,T98737,2.0,152423.977520491
T84973,301.935775,T84973,,
TAAQTH,83.139406,TAAQTH,1.0,0.0042038573679197
TAALX9,6014.977747,TAALX9,12.0,220911.678942986
TB3188,274.255774,TB3188,,
T55117,4298.217394,T55117,3.0,15091.2594108004
T61216,467.43758,T61216,,
T76678,3012.04163,T76678,,
T84071,1218.074686,T84071,1.0,976.917598301401
TB1067,683.489,TB1067,,
TA6145,275.755837,TA6145,,
TB0764,334.701975,TB0764,,
T61126,166.400221,T61126,,
T84893,574.981718,T84893,2.0,0.0084077147358395
T79375,940.334358,T79375,1.0,1370.58361766288
TA3434,715.014131,TA3434,,
T76839,2609.057124,T76839,7.0,19064.6318908093
T54556,681.461694,T54556,,
TB1937,1734.221857,TB1937,,
TA8402,168.810038,TA8402,2.0,8252.36959452278
T53161,4751.340492,T53161,5.0,65630.3227540902
T54068,156.224123,T54068,,
T62391,323.076301,T62391,,
TA3484,137.811178,TA3484,,
TAACDW,596.989639,TAACDW,2.0,0.0084077147358395
T54216,641.76992,T54216,1.0,3989.73809674213
TB4814,411.729784,TB4814,,
T84068,1123.49767,T84068,1.0,12603.9715296381
T79683,1141.24849,T79683,2.0,11456.6253497838
T81201,638.87693,T81201,3.0,15819.7500579446
TCAWXR,49.98742,TCAWXR,,
T60689,259.441168,T60689,,
T76344,1100.116171,T76344,1.0,1438.6440684495
TB1925,497.71269,TB1925,1.0,3045.55593576472
T75330,3386.070189,T75330,2.0,107378.725178467
TA8698,304.549093,TA8698,,
TB1823,489.714449,TB1823,1.0,2918.59103553881
T84252,434.457997,T84252,,
TAAHZO,267.36626,TAAHZO,4.0,9466.43519466327
T84290,642.15156,T84290,1.0,9637.02352279609
TAABP6,1811.698439,TAABP6,4.0,5158.70891889695
TB4835,245.052169,TB4835,,
T77325,1246.740781,T77325,3.0,32485.8290889136
T61523,1911.160796,T61523,2.0,3061.63569019702
T74304,1844.714672,T74304,6.0,187458.35730399
TB6431,134.260998,TB6431,1.0,115.799455056718
TAAC29,379.884373,TAAC29,,
TAAHXK,166.586785,TAAHXK,,
TB2803,666.09581,TB2803,,
TA2578,76.435935,TA2578,1.0,80.2684525830599
TA4367,1466.42693,TA4367,,
TB2562,101.959063,TB2562,,
TA2805,118.080748,TA2805,1.0,44.2582103694592
T61122,226.475008,T61122,,
T61662,2536.052149,T61662,1.0,962.536202245748
T89932,823.895688,T89932,2.0,0.0084077147358395
TA8471,201.234047,TA8471,,
T57546,395.409532,T57546,2.0,0.0084077147358395
TAAK07,207.867234,TAAK07,,
TB1573,624.31033,TB1573,,
T98763,230.668958,T98763,1.0,663.532643095087
TA0729,679.441805,TA0729,1.0,11529.8859721346
TB0713,776.805616,TB0713,,
TAAM13,185.003664,TAAM13,,
TB3288,259.943145,TB3288,2.0,4839.6025138129
T56320,2379.447529,T56320,,
T74414,1304.132128,T74414,2.0,3694.16908906106
T77096,361.46746,T77096,1.0,2797.62083591955
T84733,782.702274,T84733,,
TB4410,393.507012,TB4410,1.0,3634.79801145393
TAAC31,1019.578035,TAAC31,2.0,8086.60729464834
TB2423,51.896726,TB2423,,
T74367,379.582261,T74367,1.0,3281.69501183551
TA2657,59.321349,TA2657,,
T87368,30.909842,T87368,,
TA6052,445.473763,TA6052,,
T79896,411.941688,T79896,,
T60518,912.08655,T60518,2.0,4798.47617718254
TB2942,773.327037,TB2942,,
TAACIN,46.749135,TAACIN,,
T53360,2201.085818,T53360,,
T54744,481.422592,T54744,2.0,2305.58455414875
T74690,736.847169,T74690,,
TB2915,495.946623,TB2915,,
TB0752,293.739013,TB0752,1.0,16938.4427459791
T54263,639.25379,T54263,,
TB4979,48.110021,TB4979,,
T84612,621.38356,T84612,,
T84857,950.257515,T84857,,
TA6139,595.573137,TA6139,2.0,0.0084077147358395
TCBSJ2,36.617429,TCBSJ2,,
T61712,811.314484,T61712,,
T83963,140.794075,T83963,2.0,331.011729150002
TB2025,270.496715,TB2025,,
T76973,774.771054,T76973,2.0,6771.50198266989
TAA637,141.763955,TAA637,1.0,317.126388263763
TB1951,322.957138,TB1951,,
TA3138,1805.118258,TA3138,1.0,36.6996748219395
TAAQR8,96.866898,TAAQR8,,
T89935,167.250962,T89935,,
TB0731,697.645516,TB0731,1.0,289.00258247238
TB4903,1048.87584,TB4903,,
T89918,143.655219,T89918,1.0,22129.4667164633
T76404,916.126298,T76404,4.0,12938.2580636777
T75442,46.197953,T75442,,
TCABVH,124.622704,TCABVH,,
TB2075,746.734487,TB2075,,
TB1778,262.15082,TB1778,,
TB3744,318.185497,TB3744,,
TA2616,62.499717,TA2616,,
TA6163,197.164629,TA6163,,
TB3655,173.401534,TB3655,,
TA3260,120.228942,TA3260,,
T61718,309.360978,T61718,,
T62366,652.589371,T62366,,
TA2591,43.091639,TA2591,2.0,129.134090627759
TAAFXM,48.824499,TAAFXM,,
T60859,0.0,T60859,1.0,0.0084077147358395
TB0968,844.018052,TB0968,,
TB1827,289.263648,TB1827,1.0,138.092510678796
TA3050,91.901726,TA3050,,
TA2977,59.726114,TA2977,,
TB0766,606.978166,TB0766,3.0,41119.7996321519
TB0830,473.75217,TB0830,1.0,30525.2929436663
TB3521,996.944249,TB3521,,
T58645,1411.026423,T58645,,
T76135,2134.689921,T76135,1.0,1041.71585577052
T77178,1063.202108,T77178,3.0,26381.336339382
T92244,592.719312,T92244,,
TB4764,394.630696,TB4764,,
TAAJUJ,161.379258,TAAJUJ,,
TB2434,365.632757,TB2434,,
T76192,1275.727108,T76192,2.0,45675.4147653323
TA4245,97.922411,TA4245,,
TA3091,43.477461,TA3091,,
TAACCT,1028.902063,TAACCT,2.0,0.0084077147358395
T89973,771.048331,T89973,,
T62318,595.956236,T62318,2.0,0.0084077147358395
